db_id,buyma_product_id,model_no
58609,128220221,HTR804 600 402
58611,128220226,FSK011 DE0001 480
58613,128220227,FTR020 CO0033 168
58614,128220228,HTR103 DE0001 480
59144,128226125,I032024 8906
59162,128226146,I030468 0160
59172,128226153,I035593 3DZXX
59174,128226157,I028827 G1XX
59182,128226172,I036049 8902
59184,128226181,I035585 8906
59189,128226184,I035345 0D2XX
59190,128226185,I028627 8902
59193,128226190,I035881 014L
59196,128226192,I031218 89GD
59211,128226209,I029522 89GD
59225,128226222,I035532 89XX
59239,128226234,I035602 4906
59245,128226236,I015261 1YL01
59258,128226248,I028627 8Y02
59282,128226269,I035147 31YXX
59284,128226273,I030437 1CXX
59291,128226278,I034237 0106
59293,128226279,I035821 3FUGD
59296,128226282,I031468 1YIXX
59297,128226284,I035552 0502
59319,128226308,I030469 0106
59339,128226379,I034655 981XX
59345,128226397,I034731 2YGXX
59375,128226446,I034874 0106
59376,128226448,I034874 8906
59401,128226459,I034311 2LR02
59411,128226468,I029450 2EVXX
59416,128226474,I033006 0160
59423,128226478,I015251 19101
59424,128226479,I032335 89XX
59431,128226487,I032467 8Y02
59432,128226486,I033619 29JGD
59433,128226488,I033863 89XX
59438,128226505,I032467 29N02
59446,128226546,I032467 1YE.02
59461,128226558,I032468 1C02
59469,128226563,I028245 8902
59471,128226561,I028245 6302
59473,128226566,I035147 32BXX
